age,bmi,goal
53,36.88,LOSE_WEIGHT
43,22.69,MAINTAIN
29,21.04,MAINTAIN
57,42.69,LOSE_WEIGHT
22,27.8,LOSE_WEIGHT
35,12.41,GAIN_MUSCLE
53,16.74,GAIN_MUSCLE
33,28.48,LOSE_WEIGHT
37,22.44,MAINTAIN
25,30.38,LOSE_WEIGHT
25,19.48,MAINTAIN
38,13.37,GAIN_MUSCLE
50,19.62,MAINTAIN
54,18.09,GAIN_MUSCLE
38,24.38,MAINTAIN
17,15.1,GAIN_MUSCLE
36,24.09,MAINTAIN
16,18.85,MAINTAIN
38,38.03,LOSE_WEIGHT
58,18.7,MAINTAIN
44,14.91,GAIN_MUSCLE
52,23.07,MAINTAIN
16,15.46,GAIN_MUSCLE
35,21.46,MAINTAIN
47,20.23,MAINTAIN
26,18.88,MAINTAIN
36,40.13,LOSE_WEIGHT
58,18.96,MAINTAIN
39,26.98,LOSE_WEIGHT
41,27.13,LOSE_WEIGHT
56,24.56,MAINTAIN
42,18.09,GAIN_MUSCLE
30,26.33,LOSE_WEIGHT
29,22.47,MAINTAIN
58,45.44,LOSE_WEIGHT
17,30.18,LOSE_WEIGHT
51,13.19,GAIN_MUSCLE
21,23.42,MAINTAIN
35,32.21,LOSE_WEIGHT
23,24.65,MAINTAIN
53,27.15,LOSE_WEIGHT
32,42.28,LOSE_WEIGHT
18,16.23,GAIN_MUSCLE
39,21.38,MAINTAIN
28,21.41,MAINTAIN
23,17.25,GAIN_MUSCLE
40,43.9,LOSE_WEIGHT
16,24.51,MAINTAIN
34,16.94,GAIN_MUSCLE
42,13.82,GAIN_MUSCLE
21,11.24,GAIN_MUSCLE
58,17.59,GAIN_MUSCLE
22,30.88,LOSE_WEIGHT
49,35.32,LOSE_WEIGHT
28,17.05,GAIN_MUSCLE
31,23.58,MAINTAIN
50,17.8,GAIN_MUSCLE
54,24.15,MAINTAIN
18,14.73,GAIN_MUSCLE
16,29.27,LOSE_WEIGHT
20,13.27,GAIN_MUSCLE
56,14.83,GAIN_MUSCLE
18,22.62,MAINTAIN
43,22.75,MAINTAIN
