elo,player_count,level,matches_week,trainings_week,fatigue,hour,day,duration,field_available,field_pressure,field_capacity,distance_km,weather_score,temp_comfort,has_tournament,tournament_priority,field_tournament_fit,label,win_ratio,team_load,is_weekend,is_peak_hour,field_fits
851,19,1,1,0,2,10,4,120,1,0.75,20,5.32,1.0,1.0,1,1,1,1,0.5909090909090909,1,0,0,1
974,9,1,1,2,4,10,6,60,0,0.56,15,7.16,1.0,0.2,0,0,1,0,0.52,3,1,0,1
1261,16,1,1,2,4,14,5,90,1,0.7,30,1.24,1.0,0.5,1,1,1,1,0.03571428571428571,3,1,0,1
1529,12,1,2,2,6,22,2,120,1,0.17,30,9.71,0.5,1.0,0,0,1,1,0.6666666666666666,4,0,0,1
1383,15,2,2,6,10,14,5,120,0,0.28,15,11.51,0.0,0.5,1,2,0,0,0.16,8,1,0,1
1473,15,1,1,3,5,18,6,120,1,0.25,30,9.03,0.2,0.5,0,0,1,1,0.5652173913043478,4,1,1,1
1216,19,1,1,3,5,18,6,60,0,0.13,30,11.47,0.7,0.5,1,2,1,0,0.4528301886792453,4,1,1,1
1409,18,2,1,0,2,10,2,60,1,0.26,20,11.87,0.2,1.0,1,3,1,1,0.8571428571428571,1,0,0,1
955,14,2,1,2,4,10,3,90,1,0.67,10,5.18,1.0,1.0,1,3,0,0,0.8421052631578947,3,0,0,0
1390,13,1,3,3,9,16,5,120,0,0.7,20,12.41,0.0,0.2,0,0,1,0,0.5428571428571428,6,1,1,1
1464,19,3,2,1,5,14,2,90,0,0.04,15,7.92,0.5,0.5,0,0,1,0,0.0,3,0,0,0
1507,20,2,1,4,6,14,6,90,0,0.58,30,6.5,0.2,1.0,0,0,1,0,0.7391304347826086,5,1,0,1
958,12,3,2,0,4,10,4,60,0,0.61,15,12.25,0.0,0.2,0,0,1,0,0.3448275862068966,2,0,0,1
1588,16,1,3,2,8,8,1,120,1,0.95,20,3.55,0.7,1.0,1,3,1,1,0.4423076923076923,5,0,0,1
911,20,3,5,3,10,20,0,120,1,0.27,10,6.77,0.0,0.2,0,0,1,0,0.85,8,0,1,0
1438,9,3,3,0,6,10,0,90,1,0.94,30,11.36,0.7,1.0,0,0,1,0,0.4909090909090909,3,0,0,1
1384,19,2,2,4,8,18,0,60,1,0.32,15,11.97,1.0,0.5,0,0,1,1,0.7142857142857143,6,0,1,0
1145,13,1,2,7,10,20,2,120,1,0.07,20,11.86,1.0,0.5,0,0,1,1,0.23529411764705882,9,0,1,1
1058,6,1,1,2,4,22,3,60,1,0.65,10,5.49,1.0,1.0,0,0,1,1,0.5,3,0,0,1
1121,12,1,5,2,10,14,5,90,0,0.37,30,8.34,0.2,0.2,0,0,1,0,0.07142857142857142,7,1,0,1
1063,18,1,3,1,7,14,4,120,1,0.34,30,8.2,0.5,0.5,1,3,1,1,0.6744186046511628,4,0,0,1
1238,17,3,4,2,10,10,4,120,0,0.38,10,9.17,1.0,0.2,0,0,1,0,0.8695652173913043,6,0,0,0
1512,10,2,4,7,10,20,4,90,1,0.93,10,9.84,1.0,0.2,0,0,1,0,0.6190476190476191,11,0,1,1
1359,18,3,1,3,5,8,6,60,1,0.96,20,5.6,0.2,0.5,0,0,1,0,0.5806451612903226,4,1,0,1
840,18,1,0,3,3,8,1,60,1,0.79,30,12.35,1.0,1.0,0,0,1,1,0.75,3,0,0,1
1463,18,2,1,6,8,18,3,60,1,0.63,30,4.91,0.0,0.5,1,3,1,0,0.9310344827586207,7,0,1,1
1124,16,1,5,2,10,10,6,90,0,0.83,10,4.26,0.5,0.2,0,0,1,0,0.6818181818181818,7,1,0,0
1299,8,1,0,3,3,16,0,90,1,0.25,30,5.55,1.0,0.5,0,0,1,1,0.29411764705882354,3,0,1,1
998,13,2,1,0,2,22,0,90,1,0.01,20,4.68,0.5,0.2,0,0,1,1,0.46296296296296297,1,0,0,1
1043,14,1,1,0,2,10,2,120,1,0.99,15,8.03,0.0,0.5,1,1,0,0,0.0,1,0,0,1
949,18,2,1,6,8,14,0,90,0,0.48,20,6.67,0.7,0.5,0,0,1,0,0.2857142857142857,7,0,0,1
1482,13,1,1,0,2,10,2,60,1,0.32,15,5.13,0.7,0.5,0,0,1,1,0.7931034482758621,1,0,0,1
1348,16,2,5,4,10,10,0,90,0,0.14,15,9.77,1.0,1.0,0,0,1,0,0.6122448979591837,9,0,0,0
