elo,player_count,level,victories,defeats,matches_week,trainings_week,fatigue,hour,day,duration,field_available,field_pressure,field_capacity,label
1454,7,1,23,8,1,3,5,10,5,60,0,0.59,10,0
830,7,1,7,16,4,0,8,18,1,120,1,0.22,20,1
806,18,1,22,13,2,4,8,10,1,90,0,0.09,10,0
1167,19,2,19,8,0,7,7,18,0,90,0,0.55,20,0
1391,9,3,2,1,5,3,10,22,2,60,0,0.87,30,0
1084,13,3,26,11,1,5,7,14,1,120,1,0.7,10,0
1423,16,1,17,23,1,2,4,16,3,90,0,0.68,10,0
1034,19,1,25,10,3,4,10,8,1,120,1,0.21,30,0
1205,20,3,14,4,2,2,6,10,5,120,1,0.75,30,1
1397,12,2,7,4,4,7,10,8,6,60,0,0.15,15,0
1496,12,3,2,12,3,7,10,18,2,120,0,0.68,10,0
1498,20,3,24,8,5,5,10,8,2,90,0,0.45,20,0
1312,18,1,16,29,0,4,4,22,5,120,0,0.15,15,0
1352,18,3,29,0,4,5,10,16,0,60,1,0.88,20,0
1045,6,1,28,18,0,1,1,20,3,60,0,0.13,30,0
1362,8,2,16,27,4,6,10,10,4,120,0,0.71,30,0
1487,16,2,14,28,4,7,10,8,1,60,0,0.34,15,0
1402,9,1,2,22,5,0,10,10,0,60,1,0.07,15,0
1085,16,2,6,17,1,7,9,10,6,90,1,0.19,10,0
1474,12,2,13,13,3,0,6,20,5,120,0,0.06,20,0
911,9,1,6,17,3,2,8,16,1,90,1,0.25,10,1
1253,18,3,3,1,5,0,10,8,6,60,0,0.41,30,0
1018,19,2,28,1,1,6,8,8,3,90,1,0.29,30,0
958,9,2,6,30,0,0,0,20,2,60,0,0.58,15,0
858,14,1,27,5,0,1,1,20,6,60,1,0.12,15,1
1392,15,1,19,2,3,5,10,14,1,120,1,0.24,30,0
934,16,3,9,14,2,1,5,8,3,120,0,0.07,15,0
1318,10,1,29,11,0,3,3,14,2,60,1,0.83,20,1
1426,18,3,16,0,5,4,10,20,0,60,1,0.12,10,0
1560,14,1,8,9,4,3,10,20,2,60,1,0.51,20,0
852,7,3,13,26,2,0,4,8,2,60,1,0.16,30,1
1364,17,2,17,0,0,1,1,20,1,120,0,0.83,15,0
1240,8,1,9,11,0,5,5,10,5,60,0,0.35,30,0
1435,17,1,29,29,1,2,4,22,6,60,1,0.02,20,1
1221,18,3,27,23,1,4,6,10,6,120,0,0.38,10,0
1281,9,1,26,29,3,5,10,14,6,60,0,0.02,15,0
1208,11,2,27,2,2,5,9,20,4,90,1,0.94,10,0
1067,8,3,30,8,0,1,1,18,3,90,1,0.44,10,1
1194,20,3,6,8,0,6,6,8,4,120,0,0.36,10,0
1480,20,2,19,10,5,1,10,20,2,120,1,0.67,20,0
1212,17,2,17,4,1,6,8,20,3,120,0,0.62,20,0
1215,14,1,9,9,1,6,8,22,4,120,1,0.46,30,0
1491,9,3,15,25,5,2,10,20,0,90,1,0.09,15,1
1488,10,1,25,6,1,0,2,8,1,90,0,0.46,15,0
1535,17,2,15,12,1,2,4,20,5,60,0,0.78,15,0
980,18,3,16,14,0,3,3,22,0,90,0,0.8,20,0
1573,20,2,19,26,5,6,10,22,4,90,0,0.74,30,0
1260,10,1,26,20,2,7,10,20,1,90,1,0.08,20,0
1040,10,2,10,28,4,1,9,10,1,60,1,0.69,15,0
865,12,2,10,17,3,6,10,8,1,90,1,0.9,10,0
1583,15,2,15,0,2,4,8,22,3,90,0,0.49,20,0
1246,13,1,12,10,5,6,10,20,1,90,0,0.98,10,0
1203,15,3,21,0,0,6,6,10,6,90,0,0.05,30,0
1135,9,2,10,10,3,4,10,22,6,90,1,0.83,30,0
819,17,3,1,30,2,3,7,20,0,120,0,0.75,15,0
1004,19,1,19,4,1,2,4,16,5,60,0,0.47,20,0
1585,11,1,19,19,5,1,10,22,6,60,1,0.11,10,0
1119,15,3,29,30,3,6,10,20,1,60,0,0.1,20,0
1500,15,1,25,18,0,5,5,18,3,120,1,0.07,20,1
812,19,2,26,15,0,6,6,14,5,90,0,0.44,20,0
1430,18,3,24,15,3,6,10,22,5,120,1,0.32,15,0
888,10,2,7,24,3,6,10,14,0,90,1,0.18,15,0
1163,18,2,10,8,4,4,10,18,0,120,0,0.09,30,0
1300,14,1,22,15,5,7,10,16,6,60,0,0.29,30,0
1508,9,2,21,18,2,7,10,18,4,90,1,1.0,20,0
1160,17,2,8,9,2,3,7,8,5,60,1,0.12,15,0
996,9,3,15,8,5,4,10,8,6,60,1,0.23,15,0
1109,6,3,17,4,2,0,4,8,4,90,0,0.64,30,0
905,19,1,18,9,3,7,10,16,2,60,0,0.25,30,0
916,19,1,12,15,0,0,0,10,1,120,1,0.09,15,0
921,14,2,19,19,4,3,10,22,4,90,1,0.91,20,0
1402,12,2,18,19,0,1,1,22,1,120,0,0.26,10,0
960,9,1,17,2,1,0,2,16,3,120,1,0.29,15,1
1095,17,2,22,27,3,1,7,20,1,90,0,0.43,15,0
1463,8,2,26,4,0,0,0,10,6,90,1,0.44,30,1
1505,10,3,12,30,2,7,10,16,0,120,0,0.89,20,0
1418,10,1,2,7,5,0,10,22,5,90,0,0.76,15,0
1281,14,3,14,29,2,2,6,18,3,120,1,0.97,30,1
1156,12,2,10,21,0,2,2,14,3,120,1,0.29,30,1
1578,14,1,14,2,2,4,8,14,0,90,0,0.66,30,0
1223,6,1,16,11,4,7,10,20,3,60,0,0.27,15,0
1094,13,3,15,3,0,3,3,20,1,90,0,0.55,10,0
1030,19,1,14,30,0,2,2,16,5,90,1,0.42,30,1
1283,9,2,17,4,3,3,9,18,4,120,0,0.86,20,0
1591,18,2,10,29,4,4,10,22,0,90,1,0.84,30,0
952,13,3,15,11,2,6,10,16,2,60,0,0.57,15,0
1594,12,1,10,23,3,6,10,16,5,120,0,0.5,10,0
929,14,3,10,27,0,7,7,8,4,90,0,0.72,30,0
1470,8,1,15,25,2,5,9,18,5,90,0,0.85,30,0
1124,16,3,28,24,3,0,6,18,0,60,1,1.0,10,0
1244,7,3,22,27,0,7,7,10,5,90,0,0.05,10,0
1100,11,2,13,4,1,6,8,18,5,60,0,0.18,30,0
1434,16,1,15,29,4,2,10,10,3,120,1,0.46,10,0
1276,20,2,21,17,1,1,3,16,2,120,1,0.64,30,1
1506,10,2,27,9,1,6,8,22,3,60,0,0.38,20,0
1388,10,3,9,0,5,6,10,14,0,120,0,0.91,30,0
1093,18,1,19,25,2,3,7,20,1,120,1,0.68,15,0
1443,7,3,20,1,2,7,10,8,4,90,0,0.09,20,0
1134,17,2,5,6,1,5,7,18,4,90,0,0.26,30,0
1102,17,2,25,3,3,1,7,10,6,60,1,0.97,20,0
892,18,2,0,8,4,1,9,16,2,120,1,0.58,20,0
910,16,1,15,0,4,5,10,18,1,120,0,0.64,30,0
1517,10,3,13,3,1,0,2,8,2,90,0,0.1,15,0
1197,13,2,21,30,5,6,10,18,5,120,0,0.89,10,0
1301,15,2,30,30,2,0,4,20,2,60,1,0.44,15,1
1171,7,3,11,17,5,5,10,8,3,90,0,0.97,30,0
893,16,1,20,20,4,0,8,8,6,90,0,0.99,15,0
870,19,3,6,18,1,3,5,14,6,60,0,0.28,15,0
933,14,2,25,5,0,0,0,10,0,90,0,0.59,10,0
978,10,1,4,23,3,1,7,20,0,90,1,0.78,10,1
1262,14,1,30,19,0,4,4,16,5,60,0,1.0,30,0
1236,16,1,15,22,3,1,7,8,2,120,0,0.07,20,0
1439,16,3,17,22,2,6,10,18,4,90,1,0.51,30,0
901,18,3,3,27,5,3,10,16,3,60,1,0.34,30,0
1208,12,3,3,10,3,5,10,20,2,90,0,0.69,30,0
868,7,1,2,13,0,5,5,22,1,120,0,0.59,20,0
1486,7,2,11,27,5,6,10,22,5,60,1,0.6,20,0
906,15,3,6,4,5,7,10,10,6,60,1,0.85,20,0
917,18,2,18,7,3,0,6,18,5,120,1,0.03,20,1
1519,18,2,29,10,2,0,4,10,6,60,1,0.07,10,0
893,17,3,6,12,3,7,10,14,1,90,1,0.72,10,0
853,8,1,24,19,0,1,1,14,3,120,1,0.49,30,1
1224,10,1,24,16,0,5,5,16,0,90,1,0.53,20,1
846,9,2,19,1,0,3,3,14,1,60,1,0.29,10,1
807,13,3,13,5,1,6,8,18,5,60,1,0.07,10,0
1246,6,2,29,2,2,6,10,18,3,120,1,0.29,30,0
821,11,1,25,30,4,7,10,22,5,90,0,0.44,10,0
1049,12,3,12,16,0,6,6,22,2,120,1,0.22,15,1
878,14,3,3,16,4,3,10,22,2,90,0,0.24,15,0
1062,9,1,19,4,5,1,10,10,6,120,1,0.46,30,0
1497,20,3,20,20,4,5,10,22,5,90,0,0.44,30,0
